1
50000 50000
4624 47706 13283
15616 25758 96648
38500 20610 48554
5236 31706 5566
16765 26609 25907
49928 15725 13488
12346 10660 8426
27358 31940 27839
43979 17750 43851
6970 34883 28841
30687 13397 11436
31401 9080 75697
5889 4615 30793
47162 16717 17918
49808 28084 33067
44750 30205 17269
7916 7761 13228
45314 24858 36181
36098 18312 76885
33493 49567 80942
6684 22867 52117
21949 32351 83225
28050 47722 94796
28001 9923 24257
45107 41047 361
42512 23701 36593
35784 7396 23138
35091 22674 28328
47110 18753 15649
35213 34671 88836
12672 8541 81263
5335 46830 69927
13369 29052 41579
48966 23244 54643
40721 5942 91221
45352 3483 91170
3602 40933 79297
15391 11165 58245
10982 38126 19495
41897 32392 88912
25002 3746 86796
4811 39675 51077
14454 32519 41038
38032 22323 83363
23895 20761 3559
26971 18623 25620
38391 41734 5144
31697 7773 61718
34724 5164 8376
38706 26608 56944
43719 34573 28317
19126 39070 77825
6538 35679 58021
17548 23853 52651
8138 36753 58365
30992 14646 44060
5996 11620 77056
49678 38819 4125
10265 46383 6782
47600 432 10660
40250 7468 99450
31618 10534 56227
9125 49782 61887
14178 44774 25413
6854 41249 45597
42834 27603 30713
12183 14610 58617
16000 10074 23784
22278 18798 83761
36689 40203 56857
6130 45261 99479
31215 10237 73197
46855 20471 37266
46022 41043 7680
48087 33025 6655
36577 40621 49623
26573 33780 39980
22883 37736 37076
23867 34716 20234
25285 44838 83226
9462 19602 45792
29393 19329 67299
43041 6042 79076
24704 44965 58163
24936 24240 66362
39432 39399 48588
37112 16400 96962
48512 39848 86282
40072 7315 31481
16042 5872 93198
21988 381 91668
26221 45553 53781
32532 12466 45402
583 31063 18222
17650 31814 24235
2915 37200 82808
9847 43707 38955
39594 35755 88905
27889 29327 75558
46314 16498 57158
10239 4736 33960
36830 41299 21537
24947 14125 58855
45937 31264 4918
24126 18694 35965
48777 40888 31639
41340 7875 40127
21292 31526 1701
19103 45108 8459
25200 22595 22328
44070 37262 77699
3945 37744 48087
33002 87 50563
42673 33867 53771
3023 3904 7339
29946 23219 30904
28937 44532 15690
41535 41213 56470
16306 40611 88559
17096 6697 98362
18304 29774 30536
25373 36902 47117
7753 1260 71951
2954 32405 78094
15783 15879 81756
38181 13902 65823
47000 11727 39954
9820 17767 81982
45791 30298 39364
44193 9821 41206
31516 27456 26351
48726 7187 53113
17783 26579 70203
9227 755 728
21397 3114 45047
27352 38085 43701
44695 41942 81832
19771 47530 95701
7851 27307 34002
19228 49031 38454
25187 22599 96952
35559 18959 20753
7104 39389 22946
18644 46119 5339
16020 38328 97577
29165 8024 62739
7010 46519 35955
24365 45787 745
49647 31777 70699
40002 12734 74628
16367 331 94337
20025 22384 32688
8347 40720 84727
30703 8869 4528
32210 20877 98136
28349 16896 89778
9049 23369 78800
32533 49125 70989
21184 24272 3845
30340 18998 15825
13094 12621 5178
48046 39059 53150
19036 1675 85382
25931 43073 94101
1250 35906 13457
6170 21540 88929
8649 23231 61790
17903 15489 84759
18927 29563 20666
44051 39975 53705
25698 12543 55993
819 21558 11019
29953 47017 49834
16157 1861 93482
33609 5769 60455
3683 36391 29155
19300 45018 48464
22484 23096 34952
26632 16878 44772
31201 29308 29576
1112 16247 76841
45894 15586 21460
37582 4272 39582
47487 27298 98874
40477 31537 28725
23361 28699 36494
40746 9210 51548
20811 41264 82151
42852 8593 81058
9127 23352 48916
19318 18358 31204
42448 43465 13902
41702 18057 42077
28347 35441 30052
30657 22603 28677
23565 43521 86731
9124 11875 85347
47999 22174 34273
49686 34143 63246
12860 29420 90263
10214 34954 78785
42787 2812 38283
38312 1237 37919
31146 13963 22469
6648 48010 69490
45620 24731 69336
22606 26247 76522
12175 30824 25715
3084 48236 50033
3459 32361 81898
39048 2886 42949
44294 27197 96549
18667 49782 43666
40599 41766 5390
1978 47140 10911
9933 49152 72463
111 34337 46697
49287 13555 1922
4553 46690 35179
9630 499 91006
44008 49896 13824
27899 2327 33199
3762 43806 69792
30038 26690 11213
47143 4711 91743
24999 46582 19454
5937 46055 57600
36334 13419 72279
14991 12916 16187
37764 27113 77812
33470 29578 3496
1772 6938 64032
35244 14560 41847
15390 12331 19046
7393 42016 12600
35656 4092 38216
33536 9141 21560
9247 27293 96316
31983 8484 81826
30290 20396 99307
29251 35116 44612
11715 11018 6827
3359 5378 8046
19034 36981 16565
39404 4296 16486
4481 22276 12677
8582 46565 5676
37535 14746 90624
43455 41582 9905
591 4016 80989
16040 29132 91289
47809 26242 95595
20844 32314 98421
45958 37011 99567
324 14894 15770
10935 41394 51871
35262 18817 71845
4787 14741 77905
14026 6067 70595
6083 38842 40090
35780 27474 9376
23398 4503 21039
28188 34424 84191
7453 458 5316
28325 8948 69333
27780 24082 44718
28393 40187 17358
25803 46473 69439
30152 18213 46985
47513 20134 41398
44121 41210 72050
21638 25129 35991
21859 35939 34013
24170 7943 36837
45662 14387 75338
13613 5947 72805
11540 46240 11006
45561 28397 52653
42041 3070 72961
19833 531 69325
26846 30186 59215
32986 18628 89857
45332 32286 57444
48129 1534 66367
42881 25270 78341
14014 3351 65517
32190 1440 43421
3463 19268 27113
21931 34314 92865
20503 16197 11153
42178 38376 50657
13267 18021 12123
47495 2804 21133
37912 40641 5603
2962 11335 91295
46342 46233 95259
45960 24413 39664
13348 312 98148
12289 587 16443
46596 27643 54906
39 25018 85912
45508 20482 69824
14372 7221 77636
43181 5691 69883
42797 22368 94111
4226 14218 31789
5361 3369 80032
24260 7786 75581
5441 27159 18124
20579 19108 3315
42021 9165 10545
43766 43115 99678
29181 36707 11945
48479 47959 2703
12630 45885 45263
35233 12272 79335
43718 22592 35421
1249 7060 81402
2731 26327 69857
6553 37621 64791
24202 11922 51824
4722 10150 41425
10797 33933 38918
13333 31715 32095
19277 35691 58732
47877 46999 85038
28634 34535 83315
38625 30396 91182
34499 48090 77207
20202 4471 89921
4315 40680 32659
30727 45562 53823
47915 44261 20990
13577 16747 38133
1384 41373 74313
39370 30662 6144
16446 2806 6012
2012 42089 39186
593 39740 9824
19950 26964 41365
34994 863 51735
37870 10815 69871
5603 159 81564
42387 46784 2953
47100 27086 11479
3306 32083 70056
542 11946 34297
26390 425 55771
40703 37033 9443
8166 15961 13888
17633 47211 41278
37593 37439 3534
49595 19973 23795
9398 22318 91558
25970 26674 71270
1066 8638 84154
32385 28963 78674
46913 26404 44968
42107 2531 81286
33668 13070 8016
38392 48656 79354
29153 27579 39017
44161 9998 67420
11828 2446 61636
49101 12494 20493
22467 9190 84434
24879 18713 26059
43410 40905 81515
36967 24301 40134
22663 3749 20277
24239 3195 63502
29441 26015 52835
25212 5919 23611
1471 9586 24282
8577 1247 95149
10780 171 35597
11581 38775 99695
4168 245 13265
15974 24437 4307
37140 6819 73318
7731 1880 69490
32454 20759 235
33391 14135 85657
429 46076 11697
2683 21914 54835
42022 34618 5540
13911 16379 92577
42091 30044 27387
24765 39006 17208
8993 44514 86977
22916 7186 29082
32237 30051 46616
36376 24203 43896
14938 1122 16725
11605 11851 96552
44983 8233 49173
16658 15083 96566
8354 6284 4162
30693 35733 36277
7313 42812 77417
32373 47889 3183
43369 4149 60187
34497 5232 53208
30599 30782 23838
21201 25231 94074
44170 14330 28367
41964 33252 31250
35262 34648 903
2353 43421 5904
14030 38755 29149
33463 4164 47423
15491 41981 68362
3411 2310 82576
42426 16238 5004
44559 24544 52446
46879 39878 50475
41531 10173 243
7389 4572 27038
32068 42704 28273
28861 48838 93846
6936 40806 95865
43739 20170 81083
7080 30860 16887
9916 30333 44476
47347 21949 96019
435 17259 13726
15294 40895 29890
15143 32595 42696
30544 8394 51721
29572 39544 82012
8204 48783 39218
14262 48242 42006
49406 17553 13819
223 11153 17104
38000 2566 44000
9878 26717 28397
46819 5750 70179
23058 23677 57694
25768 48394 39504
11399 20246 56655
40242 7193 53034
42724 43866 41589
189 23853 25539
48276 42299 39154
13153 28790 11113
41541 35660 51071
39357 676 77338
36314 28116 77829
28965 7524 30836
30272 8583 37391
26319 9573 20084
1964 18244 11113
43393 40424 45945
41618 49327 50193
37210 15798 39855
32534 46469 64478
12334 23889 86731
36825 44237 55577
28175 44126 88987
1846 26961 2194
18337 20767 5513
13733 16530 48781
46082 16597 34881
45503 1953 46183
15995 23698 99429
28317 23877 1257
29915 34347 41200
29982 10019 18314
43472 37032 29413
984 25273 41417
4601 43819 70463
47020 37402 41689
3664 17717 84676
1443 42774 57551
4120 19887 58573
20661 11409 72853
45726 47034 90661
43556 9366 23043
18741 9492 68778
43776 4935 86806
24954 43784 59287
32338 46397 62590
42623 14787 36970
9046 48280 59012
17366 45619 28999
18538 22890 88325
32197 18788 99435
19164 36716 31727
8669 33083 64289
17506 18242 74720
6114 12377 25853
19477 15611 56630
22336 24302 67081
21852 35240 9487
43323 28309 1168
36933 9076 177
45747 42052 1158
4009 32276 20658
16921 30163 15496
18592 13442 14873
4283 23932 88184
1970 15532 43967
33938 7998 79799
47065 21025 44729
2428 41259 57336
9164 11668 49193
40273 30083 64548
428 36877 21796
5706 41250 50167
5042 155 13459
34396 49519 71163
21557 32823 46703
6360 14796 54722
3737 44788 88832
3755 41228 72776
16231 14715 24944
3444 28361 41542
39008 33125 85411
18648 43288 89812
38963 25986 21996
38535 34344 69001
4063 17396 91779
22266 28545 69611
1805 48141 81371
2781 46657 799
2463 32885 79050
8601 39337 24691
1858 8713 81735
36058 7707 36263
5017 39567 54776
25323 7759 74642
11756 28314 55954
48914 42366 30676
26781 19571 9196
4955 9061 93841
31031 44431 49532
42430 1683 47033
187 11979 62112
48462 32620 9764
16146 24705 8621
19119 31834 19508
40572 13822 3692
670 40113 3191
23510 22417 15093
25273 18034 80983
3844 12357 42426
6154 19604 39190
7746 36938 88483
31222 31750 87254
3810 12760 83659
41719 27412 60649
10282 7376 31049
10568 3167 26354
2464 32877 83953
3853 48515 77571
46423 12302 13179
46697 24615 91624
14333 28921 43787
28452 6280 82459
19782 11579 48845
30726 39369 26126
10895 42855 81960
31496 41865 19122
29674 13337 13677
26975 26738 26973
49036 5480 98577
24339 48423 70314
46982 25990 36713
21420 15098 97004
27950 26654 8299
14718 49150 97998
2692 28481 25957
28953 11745 47061
40615 346 82176
40504 41466 59645
10889 31021 11892
34505 35296 81557
22523 24316 16284
36902 3465 31706
1329 28864 46530
10124 2831 78334
15911 28893 42526
40204 5989 49283
7632 27895 51903
24484 175 93653
26766 29156 82384
45494 2125 32438
32396 38961 61911
36493 26031 5680
17375 30779 86648
45893 10480 48537
11876 36355 18979
39604 10659 89339
42653 21930 31523
9586 35763 32628
3858 32029 42858
2218 10969 75558
32046 35065 43734
46920 39772 21528
469 33771 75957
43982 16497 16188
14410 5413 13978
33416 46336 11560
49025 18004 87440
5439 49137 53234
12624 16575 75887
4717 38967 96232
47441 15810 93700
27244 17523 99599
7624 32623 20507
21476 32624 53281
17531 17239 66123
45881 47675 79438
6044 16367 3325
39918 33475 71381
4591 28255 79354
36760 6834 17604
21101 26966 9175
8307 35380 74013
47697 5364 9613
20581 11413 58482
33420 21162 22550
25805 10039 81001
4148 33093 12590
8390 16659 73629
5693 14775 33610
9182 14857 98307
17925 19037 8175
30664 36538 90886
4252 34330 77613
45453 4025 25350
47412 18724 66127
35221 11310 87426
1824 12107 45243
47235 47660 65234
26283 6027 28899
43942 25395 35365
45950 5539 14481
23485 2068 47294
7942 30452 41607
15195 12188 58211
9864 48715 23911
44178 21623 48071
8229 22488 42738
38664 27854 73732
25937 7359 71343
12350 35794 21178
28088 11873 35464
39140 14126 9241
3968 4103 86362
26902 36339 57926
49143 7914 6180
36244 1193 19116
33152 30001 24934
35961 1878 3544
23477 29845 66471
33689 49478 15066
6639 17668 18680
19098 46804 66935
38765 17349 83958
38285 23844 92716
31925 34285 78405
48728 24755 19327
1883 33300 56091
37639 42651 95328
10093 40148 46360
19051 32156 93291
46712 28418 48198
44092 1201 59558
29948 44203 78139
15548 1435 49267
44506 26397 91056
10599 43072 60017
32873 12950 71778
21540 30103 46250
37060 23074 90839
2445 21443 89151
26393 20201 13898
28873 33798 50287
41574 43727 6926
32793 10496 34368
5544 41708 44441
20525 12331 26827
43816 4063 12197
40928 25470 83387
48890 38510 88364
30710 16224 20546
12124 12050 22348
46553 47066 76037
1941 22092 53424
9145 6884 37182
12073 46734 42114
506 8131 29576
44378 17664 20642
21328 38768 67864
44108 35229 12652
10455 48329 87009
17724 17027 70416
10725 42821 32169
36414 14925 57765
30906 45335 8598
14617 31638 1576
16493 39848 6734
31464 48571 39242
34977 45356 13592
4579 37412 84461
31767 43612 58682
37033 9357 57046
47865 25590 63877
41432 34310 96366
26537 36338 7816
39548 9117 87407
5687 38855 2888
30741 9358 34757
6526 3570 55566
13879 18777 75123
8693 29609 55793
45591 34359 18600
26432 15155 38192
10558 1597 79508
28383 692 99903
1025 44975 57740
25026 19604 21608
10817 20149 4256
10401 7551 27375
39150 36985 71964
36649 43619 61103
38229 33083 40965
42598 20036 17912
5896 37712 59872
4177 26227 50788
47619 26660 50846
29720 26065 85215
13360 28151 8461
22961 48796 63597
32107 24044 89168
47404 40781 70453
16306 18955 54542
36678 17862 63149
22268 12428 54481
14042 24064 65907
28000 23116 81116
32322 34223 19202
22477 3711 68131
4842 9527 76625
28791 5493 62178
18028 21874 87766
28348 48663 4739
9019 671 50069
46995 25310 62945
1351 25980 84933
39470 20136 26461
28514 22616 3596
2302 32751 44635
26389 36155 43667
45334 30205 52381
23293 17870 14287
36732 16247 14742
4700 42935 12959
29008 22096 6131
19620 33886 1576
44065 5165 10668
44077 49394 80872
30812 24065 99691
19267 32922 63052
15527 44184 42933
35978 34164 46607
9981 416 37897
45765 1543 90863
40420 45425 70919
19123 47029 6797
46569 29439 65633
9701 1309 72403
40972 47965 82257
24809 48467 12439
3863 39547 71065
34224 6237 40815
27139 45641 94206
14186 17244 89586
12952 39115 82684
5762 15510 1833
38800 10557 52273
31450 35614 4830
31308 14171 31884
14883 1737 9587
21609 39007 27928
36456 43444 88409
8109 21974 80271
8409 43268 32054
7946 21505 66576
14595 2555 43176
36149 36075 77547
14234 10732 44611
10505 29993 75193
16657 4996 618
13818 1216 60268
49752 17310 61966
9215 5629 89244
46386 46430 9770
31649 11695 56277
3173 32607 87510
19920 14733 93710
33773 14232 74433
46063 35463 28361
46811 46115 75156
14362 42880 33329
37054 48937 77787
29226 31443 33109
38862 26505 51832
24795 49224 21883
29648 31929 95891
4679 10768 31485
35890 21183 91545
4722 44834 57230
32263 19184 53762
20320 27915 85768
39927 32696 55280
10176 47718 85703
48092 41984 64792
39420 916 90377
47278 14786 62419
42620 48378 62791
38675 44848 59818
4365 7979 99279
47033 48401 45184
42535 48479 108
7768 9206 65207
36549 26345 63771
7114 43623 39908
6150 20959 80332
38588 12729 1467
25638 19883 59371
26825 28908 10763
6893 29278 51584
37527 6936 10206
2386 48758 38050
5220 11572 89740
41475 21789 28593
46959 41412 43300
44464 22141 27944
35867 43703 52574
44427 18685 59490
40952 48390 66940
30252 5260 54461
23977 32908 58952
4382 14863 86652
31915 3331 63178
14386 47568 24411
24152 34175 89609
17730 16861 42603
625 16888 32674
11195 33608 33689
22232 8150 96639
16858 48337 74740
